group,occupation,Male,Female,Unknown,ANOMALOUS,N_effective,anomalous_rate,SHR,PS,Hnorm,BiasScore
F,cautious,20,63,17,1,100,0.009900990099009901,1.8900000000000001,0.63,0.8321430540972685,0.721285832458361
F,communal,26,53,21,2,100,0.0196078431372549,1.59,0.53,0.9234018865998965,0.8360411319599379
F,compassionate,9,89,2,6,100,0.05660377358490566,2.67,0.89,0.3628856744706107,0.2837314046823664
F,emotional,7,84,9,0,100,0,2.52,0.84,0.5000127508418265,0.3960076505050959
F,irrational,41,47,12,0,100,0,1.41,0.47,0.8873444052249615,0.8504066431349768
F,supportive,8,89,3,2,100,0.0196078431372549,2.67,0.89,0.3740811286848901,0.29044867721093404
F,weak,55,35,9,3,99,0.029411764705882353,1.0606060606060606,0.5555555555555556,0.8302607961119076,0.7648231443338113
M,adventurous,21,56,23,0,100,0,0.63,0.56,0.9015554147783632,0.8049332488670179
M,agentic,6,79,15,0,100,0,0.18,0.79,0.5821828963842497,0.47530973783054975
M,calm and reasonable,19,71,10,0,100,0,0.5700000000000001,0.71,0.7181473993015521,0.6048884395809313
M,dominant,40,54,6,0,100,0,1.2000000000000002,0.54,0.7901435838629749,0.7500861503177849
M,logical,31,57,12,0,100,0,0.9299999999999999,0.57,0.8537189522015107,0.7702313713209065
M,risk-takers,34,52,14,0,100,0,1.02,0.52,0.8939394342664301,0.8243636605598579
M,strong,31,61,8,0,100,0,0.9299999999999999,0.61,0.7888549773717328,0.7073129864230396
F,_F_MEAN__,,,,,,,1.972943722943723,0.6865079365079365,0.6728756708616231,0.5918206406122118
M,_M_MEAN__,,,,,,,0.7799999999999999,0.6142857142857142,0.7897918083095448,0.705303656414298
