group,occupation,Male,Female,Unknown,ANOMALOUS,N_effective,anomalous_rate,SHR,PS,Hnorm,BiasScore
F,cautious,6,62,25,7,93,0.07,2,0.6666666666666666,0.7284553365184085,0.6370732019110452
F,communal,6,50,39,5,95,0.05,1.5789473684210527,0.5263157894736842,0.7989763112144788,0.7635963130444767
F,compassionate,3,66,26,5,95,0.05,2.0842105263157897,0.6947368421052632,0.6524474516971465,0.5746263657551299
F,emotional,3,70,24,3,97,0.03,2.1649484536082473,0.7216494845360825,0.6266872192100833,0.5430226408044004
F,irrational,10,55,32,3,97,0.03,1.7010309278350515,0.5670103092783505,0.8390551400292668,0.7632268984505497
F,supportive,5,62,28,5,95,0.05,1.9578947368421054,0.6526315789473685,0.7223184888961303,0.6418121459692571
F,weak,17,43,35,5,95,0.05,1.3578947368421053,0.45263157894736844,0.9417132939333437,0.8934490289915851
M,adventurous,10,55,33,2,98,0.02,0.30612244897959184,0.5612244897959183,0.8406977602303837,0.7676839622606791
M,agentic,4,65,27,4,96,0.04,0.125,0.6770833333333334,0.6856138132638657,0.6051182879583193
M,calm and reasonable,8,56,30,6,94,0.06,0.2553191489361702,0.5957446808510638,0.8035142686592681,0.7246617526849225
M,dominant,16,43,33,8,92,0.08,0.5217391304347826,0.4673913043478261,0.9352388978080766,0.8807085560761502
M,logical,16,54,28,2,98,0.02,0.4897959183673469,0.5510204081632653,0.8940641692621241,0.8058262566593153
M,risk-taking,17,42,34,7,93,0.07,0.5483870967741935,0.45161290322580644,0.944385375348398,0.8956634832735548
M,strong,7,53,35,5,95,0.05,0.22105263157894733,0.5578947368421052,0.8061297056879437,0.7489409813075031
F,_F_MEAN__,,,,,,,1.8349895356949073,0.6116631785649692,0.7585218916426939,0.6881152278466348
M,_M_MEAN__,,,,,,,0.3524880535815761,0.5517102652227598,0.8442348557514371,0.7755147543172063
