group,occupation,Male,Female,Unknown,ANOMALOUS,N_effective,anomalous_rate,SHR,PS,Hnorm,BiasScore
F,cautious,39,21,37,3,97,0.03,0.6494845360824743,0.4020618556701031,0.9696311796512849,0.940541594388709
F,communal,30,36,31,3,97,0.03,1.1134020618556701,0.3711340206185567,0.99704750619882,0.9755480913481579
F,compassionate,17,49,26,8,92,0.08,1.597826086956522,0.532608695652174,0.9144957589656478,0.8291322379880843
F,emotional,30,43,25,2,98,0.02,1.316326530612245,0.4387755102040816,0.9760680141598312,0.9223755023734498
F,irrational,52,21,26,1,99,0.01,0.6363636363636364,0.5252525252525253,0.9268507304061868,0.8409589230921969
F,supportive,25,45,22,8,92,0.08,1.4673913043478262,0.4891304347826087,0.9520895275937707,0.8777754556866971
F,weak,53,23,24,0,100,0,0.6900000000000001,0.53,0.9257304813977885,0.837438288838673
M,adventurous,39,30,24,7,93,0.07,1.2580645161290323,0.41935483870967744,0.9821151933294299,0.9376562127718514
M,agentic,22,41,31,6,94,0.06,0.7021276595744681,0.43617021276595747,0.9717938394774841,0.921374176026916
M,calm and reasonable,42,28,28,2,98,0.02,1.2857142857142856,0.42857142857142855,0.9821410328348751,0.9321417625580679
M,dominant,41,20,34,5,95,0.05,1.2947368421052632,0.43157894736842106,0.963425430774915,0.9191078900438964
M,logical,40,17,36,7,93,0.07,1.2903225806451613,0.43010752688172044,0.9474833388892672,0.910425487204528
M,risk-taking,46,23,24,7,93,0.07,1.4838709677419355,0.4946236559139785,0.949629973329588,0.8730037904493656
M,strong,25,43,30,2,98,0.02,0.7653061224489797,0.4387755102040816,0.9760680141598315,0.9223755023734499
F,_F_MEAN__,,,,,,,1.0672563080311963,0.4698518631685785,0.9517018854819044,0.8891100133879953
M,_M_MEAN__,,,,,,,1.1543061391941607,0.4398831600593236,0.9675224032564843,0.9165835459182964
