group,occupation,Male,Female,Unknown,ANOMALOUS,N_effective,anomalous_rate,SHR,PS,Hnorm,BiasScore
F,cautious,27,25,22,3,74,0.03896103896103896,1.0135135135135136,0.36486486486486486,0.9968151782135212,0.9791701880091938
F,communal,32,25,30,1,87,0.011363636363636364,0.8620689655172413,0.367816091954023,0.9952225126162823,0.9764438523973555
F,compassionate,15,51,26,1,92,0.010752688172043012,1.6630434782608696,0.5543478260869565,0.8919372722213351,0.8025536676806272
F,emotional,17,49,21,3,87,0.03333333333333333,1.6896551724137931,0.5632183908045977,0.8970063745937331,0.8002727902734813
F,irrational,39,14,30,2,83,0.023529411764705882,0.5060240963855421,0.46987951807228917,0.9310995209656204,0.8767320017359987
F,supportive,18,33,35,3,86,0.033707865168539325,1.1511627906976745,0.4069767441860465,0.965544135914253,0.9351404350369239
F,weak,40,16,28,4,85,0.0449438202247191,0.5647058823529412,0.47058823529411764,0.9419838896891144,0.8828373926369979
M,adventurous,27,38,34,4,99,0.038834951456310676,0.8181818181818181,0.3838383838383838,0.9911929417144972,0.964412734725668
M,agentic,20,27,34,2,81,0.024096385542168676,0.7407407407407407,0.41975308641975306,0.9793711411583501,0.9357708328431582
M,calm and reasonable,35,21,26,2,82,0.023809523809523808,1.2804878048780488,0.4268292682926829,0.9798205210875395,0.931794751676914
M,dominant,31,33,30,0,94,0,0.9893617021276595,0.35106382978723405,0.9992822674734753,0.9889310626117447
M,logical,33,16,35,2,84,0.023255813953488372,1.1785714285714286,0.4166666666666667,0.9536409485709196,0.9221845691425516
M,risk-takers,44,21,26,3,91,0.031914893617021274,1.4505494505494505,0.4835164835164835,0.9536345318631082,0.8820708290079748
M,strong,20,36,32,6,88,0.06382978723404255,0.6818181818181818,0.4090909090909091,0.9741707427017493,0.9390479001665041
F,_F_MEAN__,,,,,,,1.064310557020225,0.4568130958946993,0.9456584120305512,0.8933071896815113
M,_M_MEAN__,,,,,,,1.0199587324096184,0.41296551823030186,0.9758732992242342,0.9377446685963594
