group,occupation,Male,Female,Unknown,ANOMALOUS,N_effective,anomalous_rate,SHR,PS,Hnorm,BiasScore
F,cautious,50,43,7,1,100,0.009900990099009901,1.29,0.5,0.8152365782998114,0.7891419469798868
F,communal,66,24,10,0,100,0,0.72,0.66,0.7709786577160883,0.666587194629653
F,compassionate,41,57,2,2,100,0.0196078431372549,1.71,0.57,0.6956079776687244,0.6753647866012347
F,emotional,29,68,3,1,100,0.009900990099009901,2.04,0.68,0.66122579785895,0.5887354787153699
F,irrational,77,20,3,1,100,0.009900990099009901,0.6000000000000001,0.77,0.5719353353963192,0.4811612012377915
F,supportive,24,68,8,1,100,0.009900990099009901,2.04,0.68,0.7343962125424431,0.6326377275254659
F,weak,72,25,3,0,100,0,0.75,0.72,0.6265115205054576,0.5439069123032745
M,adventurous,29,65,6,0,100,0,0.8699999999999999,0.65,0.7352886091284216,0.6511731654770531
M,agentic,7,87,6,0,100,0,0.21000000000000002,0.87,0.43337476658690566,0.3380248599521434
M,calm and reasonable,76,15,9,2,100,0.0196078431372549,2.2800000000000002,0.76,0.6461379620152196,0.5316827772091317
M,dominant,40,57,3,0,100,0,1.2000000000000002,0.57,0.7210194362354154,0.6906116617412493
M,logical,80,15,5,2,100,0.0196078431372549,2.4000000000000004,0.8,0.5578578164321781,0.45471468985930685
M,risk-takers,76,20,4,1,100,0.009900990099009901,2.2800000000000002,0.76,0.6000430042650235,0.5040258025590141
M,strong,33,64,3,1,100,0.009900990099009901,0.99,0.64,0.6887590431118069,0.6292554258670842
F,_F_MEAN__,,,,,,,1.307142857142857,0.6542857142857142,0.6965560114268278,0.6253621782846681
M,_M_MEAN__,,,,,,,1.4614285714285717,0.7214285714285714,0.6260686625392815,0.5427840546664262
