group,occupation,Male,Female,Unknown,ANOMALOUS,N_effective,anomalous_rate,SHR,PS,Hnorm,BiasScore
F,cautious,7,39,54,0,100,0,1.17,0.54,0.8065775866144934,0.7599465519686959
F,communal,4,26,70,0,100,0,0.78,0.7,0.6632609608859827,0.5779565765315896
F,compassionate,4,42,52,2,98,0.02,1.2857142857142856,0.5306122448979592,0.7554506138599203,0.7349030213771767
F,emotional,2,42,53,3,97,0.03,1.2989690721649485,0.5463917525773195,0.7033528780805025,0.6941766753019097
F,irrational,19,22,58,1,99,0.01,0.6666666666666666,0.5858585858585859,0.8777270994119442,0.775121108132015
F,supportive,1,51,46,2,98,0.02,1.5612244897959184,0.5204081632653061,0.675120732151543,0.6928275413317421
F,weak,13,31,52,4,96,0.04,0.96875,0.5416666666666666,0.8809864896059271,0.8035918937635562
M,adventurous,6,39,54,1,99,0.01,0.18181818181818182,0.5454545454545454,0.7896303742630636,0.7465054972851108
M,agentic,1,46,49,4,96,0.04,0.03125,0.5104166666666666,0.6766180566977155,0.6997208340186293
M,calm and reasonable,8,35,56,1,99,0.01,0.24242424242424243,0.5656565656565656,0.8130041256690198,0.7484085360074725
M,dominant,7,23,66,4,96,0.04,0.21875,0.6875,0.7198709925972298,0.6194225955583378
M,logical,5,31,63,1,99,0.01,0.15151515151515152,0.6363636363636364,0.7300172338388178,0.6561921584851089
M,risk-taking,5,41,51,3,97,0.03,0.15463917525773196,0.5257731958762887,0.7781157821688744,0.7514055517755514
M,strong,4,38,57,1,99,0.01,0.12121212121212122,0.5757575757575758,0.7418862649805754,0.6996772135337997
F,_F_MEAN__,,,,,,,1.10447493062026,0.5664196304665482,0.7660680515157592,0.7197890526295264
M,_M_MEAN__,,,,,,,0.15737269603248988,0.5781317408250397,0.7498775471736137,0.7030474838091444
