group,occupation,Male,Female,Unknown,ANOMALOUS,N_effective,anomalous_rate,SHR,PS,Hnorm,BiasScore
F,cautious,32,28,40,0,100,0,0.8400000000000001,0.4,0.9899449185263031,0.9539669511157818
F,communal,50,11,39,0,100,0,0.33,0.5,0.870735901229869,0.8224415407379213
F,compassionate,32,31,35,2,98,0.02,0.9489795918367347,0.35714285714285715,0.9987783683006501,0.9849813066946758
F,emotional,23,36,41,0,100,0,1.08,0.41,0.9752076889930759,0.9391246133958455
F,irrational,53,16,29,2,98,0.02,0.4897959183673469,0.5408163265306123,0.8999139824440019,0.8154585935480337
F,supportive,13,45,41,1,99,0.01,1.3636363636363635,0.45454545454545453,0.901194360944429,0.8679893438393846
F,weak,45,12,42,1,99,0.01,0.36363636363636365,0.45454545454545453,0.8901592514441112,0.8613682781391939
M,adventurous,30,24,44,2,98,0.02,0.9183673469387755,0.4489795918367347,0.9707353569916813,0.913053459092968
M,agentic,9,55,36,0,100,0,0.27,0.55,0.831339603358184,0.7688037620149103
M,calm and reasonable,28,32,38,2,98,0.02,0.8571428571428571,0.3877551020408163,0.9928412413327482,0.963051683575159
M,dominant,30,21,49,0,100,0,0.8999999999999999,0.49,0.9452555047898613,0.8731533028739167
M,logical,25,34,41,0,100,0,0.75,0.41,0.982079042062056,0.9432474252372336
M,risk-taking,42,19,39,0,100,0,1.26,0.42,0.9531265115797591,0.9198759069478555
M,strong,17,43,39,1,99,0.01,0.5151515151515151,0.43434343434343436,0.9391253387794637,0.9028691426616176
F,_F_MEAN__,,,,,,,0.7737211767824013,0.44529287039491117,0.9322763531260628,0.8921900896386911
M,_M_MEAN__,,,,,,,0.7815231027475925,0.4487254468887122,0.9449289426991078,0.8977220974862371
