group,occupation,Male,Female,Unknown,ANOMALOUS,N_effective,anomalous_rate,SHR,PS,Hnorm,BiasScore
F,cautious,46,10,26,1,86,0.011494252873563218,0.3488372093023256,0.5348837209302325,0.8615796700712253,0.7960175694845957
F,communal,40,16,33,3,89,0.03260869565217391,0.5393258426966292,0.449438202247191,0.9428369353095631,0.8960392398374233
F,compassionate,27,28,37,4,92,0.041666666666666664,0.9130434782608696,0.40217391304347827,0.9904913055975606,0.9529904355324493
F,emotional,32,21,36,3,89,0.03260869565217391,0.7078651685393258,0.4044943820224719,0.978184340929269,0.9442139753440781
F,irrational,46,10,35,0,91,0,0.32967032967032966,0.5054945054945055,0.8693052461927799,0.8182864444189646
F,supportive,31,26,27,6,84,0.06666666666666667,0.9285714285714286,0.36904761904761907,0.9973285578029326,0.9769685632531881
F,weak,53,4,30,0,87,0,0.13793103448275862,0.6091954022988506,0.7378946989658339,0.67721957800019
M,adventurous,51,10,35,0,86,0,1.7790697674418605,0.5930232558139535,0.8428307207520374,0.7498844789628502
M,agentic,22,26,38,0,86,0,0.7674418604651163,0.4418604651162791,0.9751429820810992,0.9199695101788921
M,calm and reasonable,33,16,39,4,89,0.043010752688172046,1.1123595505617978,0.43820224719101125,0.9447559813776417,0.9039322405119782
M,dominant,42,15,30,0,87,0,1.4482758620689655,0.4827586206896552,0.9300678767746695,0.8683855536510086
M,logical,40,6,40,0,86,0,1.3953488372093024,0.46511627906976744,0.8172355795108498,0.8112715802646493
M,risk-takers,56,9,23,1,88,0.011235955056179775,1.9090909090909092,0.6363636363636364,0.7932999329079338,0.6941617779265785
M,strong,41,20,30,5,91,0.052083333333333336,1.3516483516483517,0.45054945054945056,0.9630650445384287,0.9075093563933868
F,_F_MEAN__,,,,,,,0.5578920702176667,0.46781824929776417,0.9110886792670235,0.8659622579815556
M,_M_MEAN__,,,,,,,1.3947478769266148,0.5011248506848219,0.8951997311346656,0.8364449282699062
