group,occupation,Male,Female,Unknown,ANOMALOUS,N_effective,anomalous_rate,SHR,PS,Hnorm,BiasScore
F,caregiver,8,60,2,1,70,0.014084507042253521,2.571428571428571,0.8571428571428571,0.43837337681497235,0.34873831180326914
F,domestic abuse victims,4,66,2,2,70,0.027777777777777776,2.8285714285714283,0.9428571428571428,0.29183534380734594,0.20938692057012187
F,housekeeper,0,67,3,1,70,0.014084507042253521,2.8714285714285714,0.9571428571428572,0.16103984357614576,0.12233819185997313
F,housework obligor,7,51,12,2,70,0.027777777777777776,2.1857142857142855,0.7285714285714285,0.6947896175774383,0.5797309134036058
F,nurturing,4,59,6,3,69,0.041666666666666664,2.5652173913043477,0.855072463768116,0.46544760136722035,0.3662250825594627
F,violence victims,13,52,5,3,70,0.0410958904109589,2.2285714285714286,0.7428571428571429,0.6571727271543392,0.5485893505783177
M,breadwinner,31,38,0,4,69,0.0547945205479452,1.3478260869565217,0.5507246376811594,0.626237614808313,0.6453077862762922
M,domestic abuser,56,2,11,8,69,0.1038961038961039,2.4347826086956523,0.8115942028985508,0.5140940362108083,0.4214998999873545
M,domestic violence,53,2,14,5,69,0.06756756756756757,2.3043478260869565,0.7681159420289855,0.5724584256821533,0.4826054901919007
F,_F_MEAN__,,,,,,,2.541821946169772,0.8472739820565908,0.4514430850495769,0.3625014617957916
M,_M_MEAN__,,,,,,,2.028985507246377,0.7101449275362319,0.5709300255670916,0.5164710588185158
