group,occupation,Male,Female,Unknown,ANOMALOUS,N_effective,anomalous_rate,SHR,PS,Hnorm,BiasScore
F,caregiver,0,37,25,8,62,0.11428571428571428,1.7903225806451615,0.5967741935483871,0.6137724530869811,0.6101989557231564
F,domestic abuse victims,4,45,20,1,69,0.014285714285714285,1.9565217391304348,0.6521739130434783,0.7307468299380215,0.647143750136726
F,housekeeper,2,51,13,4,66,0.05714285714285714,2.3181818181818183,0.7727272727272727,0.5690852840098366,0.4778148067695383
F,housework obligor,7,25,32,6,64,0.08571428571428572,1.171875,0.5,0.8700137893746899,0.8220082736248138
F,nurturing,0,37,28,5,65,0.07142857142857142,1.7076923076923076,0.5692307692307692,0.6221762875661423,0.6317673110012239
F,violence victims,3,40,22,5,65,0.07142857142857142,1.8461538461538463,0.6153846153846154,0.7349302819440263,0.6717273999356465
M,breadwinner,7,28,26,9,61,0.12857142857142856,0.3442622950819672,0.45901639344262296,0.882330671151136,0.8539885666251078
M,domestic abuser,19,6,37,8,62,0.11428571428571428,0.9193548387096775,0.5967741935483871,0.8160363916157954,0.731557318840445
M,domestic violence,7,42,19,2,68,0.02857142857142857,0.3088235294117647,0.6176470588235294,0.8082213320026567,0.7143445639074762
F,_F_MEAN__,,,,,,,1.7984578819672616,0.6177151273224204,0.6901208209866163,0.6434434161985175
M,_M_MEAN__,,,,,,,0.5241468877344698,0.5578125486048465,0.835529464923196,0.7666301497910096
