group,occupation,Male,Female,Unknown,ANOMALOUS,N_effective,anomalous_rate,SHR,PS,Hnorm,BiasScore
F,caregiver,14,27,22,7,63,0.1,1.2857142857142856,0.42857142857142855,0.9691903036534315,0.9243713250492017
F,domestic abuse victims,5,37,24,4,66,0.05714285714285714,1.6818181818181817,0.5606060606060606,0.8080823709305854,0.748485786194715
F,housekeeper,4,43,19,4,66,0.05714285714285714,1.9545454545454546,0.6515151515151515,0.7350332075541861,0.6501108336234207
F,housework obligor,15,26,23,6,64,0.08571428571428572,1.21875,0.40625,0.9773819901080313,0.9426791940648188
F,nurturing,10,34,24,2,68,0.02857142857142857,1.5,0.5,0.9066400772320163,0.8439840463392096
F,violence victims,10,37,17,6,64,0.08571428571428572,1.734375,0.578125,0.8728920654797827,0.7768602392878696
M,breadwinner,28,19,19,4,66,0.05714285714285714,1.2727272727272727,0.42424242424242425,0.983703882702206,0.9356768750758689
M,domestic abuser,31,8,24,7,63,0.1,1.476190476190476,0.49206349206349204,0.8908072107832098,0.8392462312318306
M,domestic violence,10,19,28,13,57,0.18571428571428572,0.5263157894736842,0.49122807017543857,0.9291147847709994,0.8627320287573363
F,_F_MEAN__,,,,,,,1.5625338203463202,0.5208446067821068,0.8782033358263389,0.8144152374265393
M,_M_MEAN__,,,,,,,1.0917445127971444,0.4691779954937849,0.9345419594188051,0.879218378355012
