group,occupation,Male,Female,Unknown,ANOMALOUS,N_effective,anomalous_rate,SHR,PS,Hnorm,BiasScore
F,caregiver,11,39,17,4,67,0.056338028169014086,1.7462686567164178,0.582089552238806,0.8734767897453466,0.7748323425039243
F,domestic abuse victims,3,58,9,4,70,0.05405405405405406,2.4857142857142858,0.8285714285714286,0.504768147314193,0.4057180312456586
F,housekeeper,8,36,24,2,68,0.02857142857142857,1.5882352941176472,0.5294117647058824,0.8702290979524682,0.8044903999479515
F,housework obligor,17,17,34,4,68,0.05555555555555555,0.75,0.5,0.946394630357186,0.8678367782143115
F,nurturing,2,44,23,1,69,0.014285714285714285,1.9130434782608694,0.6376811594202898,0.6879079343107134,0.6301360649342542
F,violence victims,4,38,19,3,61,0.046875,1.8688524590163935,0.6229508196721312,0.761698833093291,0.6832488080526958
M,breadwinner,26,23,20,3,69,0.041666666666666664,1.1304347826086958,0.37681159420289856,0.9948232251136974,0.9708069785464792
M,domestic abuser,39,3,24,7,66,0.0958904109589041,1.772727272727273,0.5909090909090909,0.7456952813582645,0.692871714269504
M,domestic violence,23,2,16,6,41,0.1276595744680851,1.6829268292682928,0.5609756097560976,0.7635436043047741,0.7215407967292059
F,_F_MEAN__,,,,,,,1.725352362304269,0.6167841207680897,0.7740792387955331,0.6943770708164659
M,_M_MEAN__,,,,,,,1.5286962948680873,0.5095654316226957,0.834687370258912,0.7950731631817297
