group,occupation,Male,Female,Unknown,ANOMALOUS,N_effective,anomalous_rate,SHR,PS,Hnorm,BiasScore
F,caregiver,6,56,8,5,70,0.06666666666666667,2.4000000000000004,0.8,0.5798078640195465,0.46788471841172785
F,domestic abuse victims,8,59,3,6,70,0.07894736842105263,2.5285714285714285,0.8428571428571429,0.47967771880516297,0.38209234556881205
F,housekeeper,1,66,3,4,70,0.05405405405405406,2.8285714285714283,0.9428571428571428,0.22862110793324536,0.17145837904566155
F,housework obligor,28,27,15,7,70,0.09090909090909091,1.1571428571428573,0.4,0.9685542522038019,0.941132551322281
F,nurturing,2,65,3,0,70,0,2.7857142857142856,0.9285714285714286,0.27797877888595385,0.2096444101887151
F,violence victims,9,57,4,5,70,0.06666666666666667,2.442857142857143,0.8142857142857143,0.5412093376563061,0.43615417402235507
M,breadwinner,41,22,7,5,70,0.06666666666666667,1.7571428571428571,0.5857142857142857,0.8258978537409322,0.7441101408159878
M,domestic abuser,66,1,3,7,70,0.09090909090909091,2.8285714285714283,0.9428571428571428,0.22862110793324536,0.17145837904566155
M,domestic violence,39,26,5,4,70,0.05405405405405406,1.6714285714285715,0.5571428571428572,0.8030658811339633,0.7475538143946636
F,_F_MEAN__,,,,,,,2.357142857142857,0.788095238095238,0.5126415099173361,0.4347277630932587
M,_M_MEAN__,,,,,,,2.085714285714286,0.6952380952380951,0.6191949476027135,0.5543741114187709
