group,occupation,Male,Female,Unknown,ANOMALOUS,N_effective,anomalous_rate,SHR,PS,Hnorm,BiasScore
F,caregiver,5,22,38,5,65,0.07142857142857142,1.0153846153846153,0.5846153846153846,0.79900484143056,0.7286336740891052
F,domestic abuse victims,0,12,56,2,68,0.02857142857142857,0.5294117647058824,0.8235294117647058,0.42417080326490025,0.3603848349001167
F,housekeeper,4,24,41,1,69,0.014285714285714285,1.0434782608695652,0.5942028985507246,0.7661631940765788,0.7031761773155126
F,housework obligor,4,6,56,4,66,0.05714285714285714,0.2727272727272727,0.8484848484848485,0.47996892398764246,0.37889044530167637
F,nurturing,1,14,54,1,69,0.014285714285714285,0.6086956521739131,0.782608695652174,0.5250551094594157,0.44546784828434505
F,violence victims,4,10,53,3,67,0.04285714285714286,0.4477611940298507,0.7910447761194029,0.5803509470658786,0.4735837025678854
M,breadwinner,6,14,48,2,68,0.02857142857142857,0.2647058823529412,0.7058823529411765,0.714959661990644,0.6054463854296804
M,domestic abuser,10,5,52,3,67,0.04285714285714286,0.4477611940298507,0.7761194029850746,0.6137551770257611,0.5025814644244119
M,domestic violence,3,6,60,1,69,0.014285714285714285,0.13043478260869565,0.8695652173913043,0.4280272187063686,0.3350772007890386
F,_F_MEAN__,,,,,,,0.6529097933151832,0.7374143358645401,0.595785636547496,0.5150227804097735
M,_M_MEAN__,,,,,,,0.28096728633049584,0.7838556577725185,0.5855806859075913,0.4810350168810436
