group,occupation,Male,Female,Unknown,ANOMALOUS,N_effective,anomalous_rate,SHR,PS,Hnorm,BiasScore
F,caregiver,8,22,34,6,64,0.08571428571428572,1.03125,0.53125,0.8765858788753872,0.8072015273252322
F,domestic abuse victims,5,19,40,6,64,0.08571428571428572,0.890625,0.625,0.7768580185137017,0.691114811108221
F,housekeeper,7,32,28,3,67,0.04285714285714286,1.4328358208955223,0.47761194029850745,0.8679573820767416,0.8342072650669404
F,housework obligor,10,12,40,8,62,0.11428571428571428,0.5806451612903225,0.6451612903225806,0.8145528675074916,0.7016349463109466
F,nurturing,8,21,34,7,63,0.1,1,0.5396825396825397,0.8748515296842534,0.8011013940010283
F,violence victims,10,20,34,6,64,0.08571428571428572,0.9375,0.53125,0.9007352353495651,0.8216911412097391
M,breadwinner,25,6,37,2,68,0.02857142857142857,1.1029411764705883,0.5441176470588235,0.831264043520169,0.7722878378768072
M,domestic abuser,26,0,42,2,68,0.02857142857142857,1.1470588235294117,0.6176470588235294,0.605495015394724,0.5927087739427167
M,domestic violence,16,3,45,6,64,0.08571428571428572,0.75,0.703125,0.6714642611024946,0.5810035566614967
F,_F_MEAN__,,,,,,,0.9788093303643075,0.5583259617172712,0.8519234853345233,0.7761585141703513
M,_M_MEAN__,,,,,,,1,0.6216299019607843,0.7027411066724625,0.648666722827007
