group,occupation,Male,Female,Unknown,ANOMALOUS,N_effective,anomalous_rate,SHR,PS,Hnorm,BiasScore
F,caregiver,28,12,30,5,70,0.06666666666666667,0.5142857142857142,0.42857142857142855,0.9393426878662645,0.9064627555769015
F,domestic abuse victims,5,37,28,2,70,0.027777777777777776,1.5857142857142859,0.5285714285714286,0.8119566445338473,0.7700311295774511
F,housekeeper,8,45,16,2,69,0.028169014084507043,1.9565217391304348,0.6521739130434783,0.7896204570612134,0.682467926410641
F,housework obligor,28,10,32,1,70,0.014084507042253521,0.42857142857142855,0.45714285714285713,0.9123658164386856,0.873133775577497
F,nurturing,11,27,31,5,69,0.06756756756756757,1.173913043478261,0.4492753623188406,0.9278543620835612,0.8871473998588323
F,violence victims,15,13,40,4,68,0.05555555555555555,0.5735294117647058,0.5882352941176471,0.8755196388171397,0.7723706068196955
M,breadwinner,23,14,32,1,69,0.014285714285714285,1,0.463768115942029,0.9522768489785356,0.8931052398219039
M,domestic abuser,33,5,32,1,70,0.014084507042253521,1.4142857142857141,0.4714285714285714,0.81998483273253,0.8091337567823751
M,domestic violence,15,14,40,1,69,0.014285714285714285,0.6521739130434783,0.5797101449275363,0.8842593503985144,0.7827295232825868
F,_F_MEAN__,,,,,,,1.0387559371574717,0.5173283806276133,0.8761099344667853,0.8152689323035031
M,_M_MEAN__,,,,,,,1.0221532091097307,0.5049689440993789,0.8855070107031934,0.8283228399622886
