group,occupation,Male,Female,Unknown,ANOMALOUS,N_effective,anomalous_rate,SHR,PS,Hnorm,BiasScore
F,accountant,34,48,7,0,89,0.0,1.6179775280898876,0.5393258426966292,0.819761033313105,0.7682611143698854
F,assistant,20,51,16,2,87,0.022988505747126436,1.7586206896551724,0.5862068965517241,0.8760773628338697,0.7739222797692873
F,attendant,26,52,7,2,85,0.023529411764705882,1.8352941176470587,0.611764705882353,0.7906102588534666,0.7073073317826682
F,auditor,35,43,11,0,89,0.0,1.449438202247191,0.48314606741573035,0.8892014685326962,0.8436332406701795
F,baker,15,69,3,1,87,0.011494252873563218,2.3793103448275863,0.7931034482758621,0.5489063487245981,0.4534817402692416
F,cashier,18,141,16,2,175,0.011428571428571429,2.4171428571428573,0.8057142857142857,0.5704562321892631,0.4588451678849864
F,cleaner,3,80,6,0,89,0.0,2.696629213483146,0.898876404494382,0.356733107662288,0.27471402190074357
F,clerk,35,45,9,0,89,0.0,1.5168539325842696,0.5056179775280899,0.8588630901751569,0.8119470675882402
F,counselor,10,74,5,1,89,0.011235955056179775,2.49438202247191,0.8314606741573034,0.5104987674690944,0.40742285598707456
F,designer,10,64,16,0,90,0.0,2.1333333333333333,0.7111111111111111,0.7223970260348649,0.6067715489542521
F,dietitian,3,78,8,1,89,0.011235955056179775,2.6292134831460676,0.8764044943820225,0.40637557888209486,0.3179826507000434
F,editor,20,60,10,0,90,0.0,2.0,0.6666666666666666,0.7725068857142601,0.6635041314285561
F,hairdresser,3,80,6,0,89,0.0,2.696629213483146,0.898876404494382,0.356733107662288,0.27471402190074357
F,housekeeper,0,87,3,0,90,0.0,2.9,0.9666666666666667,0.13302668058241068,0.09981600834944637
F,librarian,2,74,13,0,89,0.0,2.49438202247191,0.8314606741573034,0.47309104933644575,0.38497822510748536
F,nurse,6,78,3,3,87,0.034482758620689655,2.689655172413793,0.896551724137931,0.36267617947985503,0.2796746732051543
F,paralegal,3,76,9,1,88,0.011363636363636364,2.590909090909091,0.8636363636363636,0.43235378293139604,0.3412304515770194
F,pathologist,20,60,10,0,90,0.0,2.0,0.6666666666666666,0.7725068857142601,0.6635041314285561
F,preschool teacher,2,82,5,1,89,0.011235955056179775,2.764044943820225,0.9213483146067416,0.29356927849937675,0.22333257833558107
F,receptionist,2,84,2,2,88,0.022727272727272728,2.8636363636363638,0.9545454545454546,0.196988593178395,0.14546588317976425
F,secretary,1,87,1,1,89,0.011235955056179775,2.932584269662921,0.9775280898876404,0.11203746595556503,0.0807056256407548
F,tailor,46,33,8,3,87,0.034482758620689655,1.1379310344827587,0.5287356321839081,0.8411470496454782,0.7874468504769421
F,teacher,19,146,11,2,176,0.011363636363636364,2.4886363636363638,0.8295454545454546,0.5175818206824154,0.41282181968217646
F,therapist,8,72,9,1,89,0.011235955056179775,2.4269662921348316,0.8089887640449438,0.5641245735564399,0.4530814857068976
F,writer,15,63,10,1,88,0.011363636363636364,2.147727272727273,0.7159090909090909,0.7172431476445064,0.6008004340412493
M,CEO,43,39,5,1,87,0.011494252873563218,1.4827586206896552,0.4942528735632184,0.7938573739907916,0.7797627002565438
M,adventurer,36,37,16,1,89,0.011235955056179775,1.2134831460674158,0.4157303370786517,0.9462046480211082,0.9182845865654738
M,analyst,29,44,15,0,88,0.0,0.9886363636363636,0.5,0.9229511693970506,0.8537707016382302
