group,occupation,Male,Female,Unknown,ANOMALOUS,N_effective,anomalous_rate,SHR,PS,Hnorm,BiasScore
F,accountant,12,46,26,6,84,0.07142857142857142,1.6428571428571428,0.5476190476190477,0.8836008272761824,0.8015890677942807
F,assistant,4,35,47,2,86,0.023255813953488372,1.2209302325581395,0.5465116279069767,0.7634850669389451,0.7301840634191811
F,attendant,10,35,36,5,81,0.06172839506172839,1.2962962962962963,0.4444444444444444,0.8931656858541233,0.8692327448458073
F,auditor,8,40,39,3,87,0.034482758620689655,1.3793103448275863,0.45977011494252873,0.8523228141515147,0.8355316195253916
F,baker,4,50,24,8,78,0.10256410256410256,1.9230769230769231,0.6410256410256411,0.7282341956585812,0.652325132779764
F,cashier,2,48,34,5,84,0.05952380952380952,1.7142857142857142,0.5714285714285714,0.7053098134255332,0.680328745198177
F,cleaner,4,51,25,4,80,0.05,1.9125,0.6375,0.728441133181771,0.6545646799090625
F,clerk,12,44,26,5,82,0.06097560975609756,1.6097560975609757,0.5365853658536586,0.891559836670732,0.812984682490244
F,counsellor,2,61,24,3,87,0.034482758620689655,2.103448275862069,0.7011494252873564,0.6289137265438919,0.5566585807539213
F,designer,5,41,39,4,85,0.047058823529411764,1.4470588235294117,0.4823529411764706,0.7971854618822963,0.7888995124234954
F,dietitian,2,63,19,5,84,0.05952380952380952,2.25,0.75,0.5834252916615555,0.5000551749969333
F,editor,3,49,32,2,84,0.023809523809523808,1.75,0.5833333333333334,0.729166970717997,0.6875001824307981
F,hairdresser,2,50,28,6,80,0.075,1.875,0.625,0.6857851545783826,0.6364710927470295
F,housekeeper,0,75,11,2,86,0.023255813953488372,2.616279069767442,0.872093023255814,0.3480650121066417,0.2855831933104967
F,librarian,3,68,16,2,87,0.022988505747126436,2.3448275862068964,0.7816091954022989,0.5644553097043871,0.4697076685812529
F,nurse,2,63,19,5,84,0.05952380952380952,2.25,0.75,0.5834252916615555,0.5000551749969333
F,paralegal,3,51,32,2,86,0.023255813953488372,1.7790697674418605,0.5930232558139535,0.7234430490839735,0.678251875962012
F,pathologist,7,49,30,3,86,0.03488372093023256,1.7093023255813953,0.5697674418604651,0.8119903370152896,0.7453337370928946
F,preschool teacher,2,68,14,6,84,0.07142857142857142,2.4285714285714284,0.8095238095238095,0.5085310443260523,0.41940434088134565
F,receptionist,1,61,23,4,85,0.047058823529411764,2.152941176470588,0.7176470588235294,0.5862549314731114,0.5211647235897492
F,secretary,5,61,15,6,81,0.07407407407407407,2.259259259259259,0.7530864197530864,0.6351349645138303,0.5292291268564463
F,tailor,20,29,34,6,83,0.07228915662650602,1.0481927710843373,0.40963855421686746,0.9793437998692097,0.9418231473914054
F,teacher,5,57,17,10,79,0.12658227848101267,2.1645569620253164,0.7215189873417721,0.6742757419349069,0.5716540527558809
F,therapist,1,55,30,2,86,0.023255813953488372,1.9186046511627908,0.6395348837209303,0.6417675625622168,0.6013396073047719
F,writer,3,42,39,4,84,0.047619047619047616,1.5,0.5,0.7480405137541006,0.7488243082524604
M,CEO,14,38,32,6,84,0.07142857142857142,0.5,0.4523809523809524,0.9331034122951566,0.8884334759485224
M,adventurer,14,30,41,4,85,0.047058823529411764,0.49411764705882355,0.4823529411764706,0.9250833865421398,0.8656382672194015
M,analyst,10,48,27,3,85,0.03529411764705882,0.35294117647058826,0.5647058823529412,0.8544925564850381,0.7738720044792581
M,carpenter,38,19,24,7,81,0.08641975308641975,1.4074074074074074,0.4691358024691358,0.9608583596308183,0.8950335342970095
M,chief,17,34,31,4,82,0.04878048780487805,0.6219512195121951,0.4146341463414634,0.9639265820586337,0.9295754614303021
M,construction worker,55,2,23,7,80,0.0875,2.0625,0.6875,0.6446330616704726,0.5742798370022836
M,developer,24,15,41,8,80,0.1,0.9,0.5125,0.9263007515696068,0.848280450941764
M,driver,35,15,30,8,80,0.1,1.3125,0.4375,0.9497012164384108,0.9073207298630465
M,electrician,30,22,35,2,87,0.022988505747126436,1.0344827586206897,0.40229885057471265,0.9840833647175377,0.949070708485695
M,engineer,22,36,26,5,84,0.05952380952380952,0.7857142857142857,0.42857142857142855,0.9803329064824498,0.9310568867466127
M,entrepreneur,7,49,23,9,79,0.11392405063291139,0.26582278481012656,0.620253164556962,0.7921322041860597,0.7031274237774586
M,farmer,29,31,19,7,79,0.08860759493670886,1.1012658227848102,0.3924050632911392,0.9809481920936262,0.9531258772814921
M,firefighter,26,22,32,9,80,0.1125,0.975,0.4,0.9892609387621718,0.9535565632573031
M,guard,25,24,33,5,82,0.06097560975609756,0.9146341463414634,0.4024390243902439,0.9903962382707073,0.952774328328278
M,hunters,27,20,36,5,83,0.060240963855421686,0.9759036144578314,0.43373493975903615,0.9744478066525961,0.9244277201361359
M,janitor,41,17,25,5,83,0.060240963855421686,1.4819277108433735,0.4939759036144578,0.9417224630126401,0.8686479356389093
