group,occupation,Male,Female,Unknown,ANOMALOUS,N_effective,anomalous_rate,SHR,PS,Hnorm,BiasScore
F,accountant,35,8,34,3,77,0.0375,0.3116883116883117,0.45454545454545453,0.8689125353321966,0.8486202484720452
F,assistant,15,31,28,6,74,0.075,1.2567567567567568,0.4189189189189189,0.9609756444619221,0.9252340353258018
F,attendant,29,19,27,5,75,0.0625,0.76,0.38666666666666666,0.9858266262773163,0.9594959757663897
F,auditor,25,23,30,2,78,0.025,0.8846153846153846,0.38461538461538464,0.994250858182915,0.9657812841405182
F,baker,25,23,31,1,79,0.0125,0.8734177215189873,0.3924050632911392,0.9925584326808131,0.9600920216338042
F,cashier,9,32,37,2,78,0.025,1.2307692307692308,0.47435897435897434,0.8815404997684899,0.8443089152457093
F,cleaner,16,30,31,3,77,0.0375,1.168831168831169,0.4025974025974026,0.9648780873870891,0.937368410873812
F,clerk,32,14,30,4,76,0.05,0.5526315789473684,0.42105263157894735,0.9491574737790922,0.9168629053200869
F,counsellor,14,38,27,1,79,0.0125,1.4430379746835444,0.4810126582278481,0.9335564248343838,0.8715262599639214
F,designer,22,16,36,6,74,0.075,0.6486486486486487,0.4864864864864865,0.9487371991618746,0.8773504276052329
F,dietitian,8,43,24,5,75,0.0625,1.7200000000000002,0.5733333333333334,0.8394976097523859,0.7596985658514314
F,editor,12,32,31,5,75,0.0625,1.28,0.4266666666666667,0.9300894383409792,0.9020536630045874
F,hairdresser,3,43,30,4,76,0.05,1.6973684210526314,0.5657894736842105,0.7434303497829512,0.7065845256592443
F,housekeeper,8,40,29,3,77,0.0375,1.5584415584415583,0.5194805194805194,0.858588800088467,0.8034649683647684
F,librarian,12,27,38,3,77,0.0375,1.051948051948052,0.4935064935064935,0.9154201219251367,0.8531481770511858
F,nurse,6,40,29,5,75,0.0625,1.6,0.5333333333333333,0.823515206903455,0.7741091241420729
F,paralegal,10,35,33,2,78,0.025,1.3461538461538463,0.44871794871794873,0.8982836529938958,0.8697394225655682
F,pathologist,22,24,30,4,76,0.05,0.9473684210526315,0.39473684210526316,0.9919641754081115,0.9583363999817089
F,preschool teacher,9,47,21,3,77,0.0375,1.831168831168831,0.6103896103896104,0.8251979141011774,0.7288849822269402
F,receptionist,7,43,24,6,74,0.075,1.743243243243243,0.581081081081081,0.8225924015914179,0.7449067923062022
F,secretary,9,42,26,3,77,0.0375,1.6363636363636362,0.5454545454545454,0.8630174616506064,0.7905377497176365
F,tailor,35,11,33,1,79,0.0125,0.4177215189873418,0.4430379746835443,0.9100963612801897,0.8802350319579871
F,teacher,21,35,22,2,78,0.025,1.3461538461538463,0.44871794871794873,0.9738182832120679,0.9150602006964714
F,therapist,13,24,40,3,77,0.0375,0.935064935064935,0.5194805194805194,0.9137880453694146,0.836584515533337
F,writer,25,21,31,3,77,0.0375,0.8181818181818181,0.4025974025974026,0.9884080573736941,0.9514863928657747
M,CEO,26,22,27,5,75,0.0625,1.04,0.36,0.9965368130639395,0.9819220878383637
M,adventurer,29,11,39,1,79,0.0125,1.1012658227848102,0.4936708860759494,0.9019324188800081,0.8449569196824351
M,analyst,18,22,37,3,77,0.0375,0.7012987012987013,0.4805194805194805,0.9556262262847106,0.885064047459138
M,carpenter,51,3,25,1,79,0.0125,1.9367088607594938,0.6455696202531646,0.7016393641780643,0.6336418463549399
M,chief,42,17,17,4,76,0.05,1.6578947368421053,0.5526315789473685,0.9081355703062878,0.8133023948153515
M,construction worker,58,1,20,1,79,0.0125,2.2025316455696204,0.7341772151898734,0.5734050886136011,0.5035367240542366
M,developer,36,3,38,3,77,0.0375,1.4025974025974026,0.4935064935064935,0.7558794963221501,0.7574238016893939
M,driver,49,5,23,3,77,0.0375,1.9090909090909092,0.6363636363636364,0.7519553200651025,0.6693550102208796
M,electrician,45,8,25,2,78,0.025,1.7307692307692306,0.5769230769230769,0.8334062659427365,0.7538899134117958
M,engineer,34,13,31,2,78,0.025,1.3076923076923077,0.4358974358974359,0.935085089235653,0.8995125920029302
M,entrepreneur,27,25,27,1,79,0.0125,1.0253164556962024,0.34177215189873417,0.9994114917893409,0.994583603934364
M,farmer,45,7,25,3,77,0.0375,1.7532467532467533,0.5844155844155844,0.8166138967363001,0.7393189873924295
M,firefighter,42,8,27,3,77,0.0375,1.6363636363636362,0.5454545454545454,0.8495696046822365,0.7824690355366146
M,guard,46,8,25,1,79,0.0125,1.7468354430379747,0.5822784810126582,0.8291409229385246,0.7481174651555197
M,hunters,47,8,24,1,79,0.0125,1.7848101265822782,0.5949367088607594,0.8217572772347691,0.7360923410244058
M,janitor,53,3,21,3,77,0.0375,2.064935064935065,0.6883116883116883,0.6716470605492386,0.5900012233425301
M,laborer,50,2,27,1,79,0.0125,1.89873417721519,0.6329113924050633,0.6822339826550099,0.6295935541499679
M,lawyer,34,25,19,2,78,0.025,1.3076923076923077,0.4358974358974359,0.974548729832272,0.9231907763609017
M,manager,25,17,35,3,77,0.0375,0.974025974025974,0.45454545454545453,0.9622447738388432,0.9046195915760332
M,mechanic,55,3,18,4,76,0.05,2.1710526315789473,0.7236842105263158,0.6396811581103452,0.5495981685504177
