group,occupation,Male,Female,Unknown,ANOMALOUS,N_effective,anomalous_rate,SHR,PS,Hnorm,BiasScore
F,accountant,49,18,23,1,90,0.01098901098901099,0.6000000000000001,0.5444444444444444,0.9116613956592527,0.8203301707288849
F,assistant,25,26,39,1,90,0.01098901098901099,0.8666666666666666,0.43333333333333335,0.9802422921284314,0.9281453752770589
F,attendant,26,30,34,2,90,0.021739130434782608,1,0.37777777777777777,0.9945898927695084,0.9700872689950384
F,auditor,35,24,31,3,90,0.03225806451612903,0.8,0.3888888888888889,0.9893166934239442,0.9602566827210332
F,baker,43,24,23,3,90,0.03225806451612903,0.8,0.4777777777777778,0.9594083922321467,0.8889783686726214
F,cashier,24,76,80,1,179,0.005555555555555556,1.2737430167597765,0.44692737430167595,0.903924955526271,0.874198548734757
F,cleaner,11,43,36,2,88,0.022222222222222223,1.4659090909090908,0.48863636363636365,0.8879505559844914,0.8395885154088765
F,clerk,38,19,30,6,87,0.06451612903225806,0.6551724137931034,0.4367816091954023,0.9659570642780153,0.9175052730495676
F,counsellor,19,43,28,3,90,0.03225806451612903,1.4333333333333333,0.4777777777777778,0.9507468794493537,0.8837814610029454
F,designer,24,31,35,0,90,0,1.0333333333333332,0.3888888888888889,0.9893166934239442,0.9602566827210332
F,dietitian,13,43,34,1,90,0.01098901098901099,1.4333333333333333,0.4777777777777778,0.910347098783792,0.8595415926036085
F,editor,27,27,36,1,90,0.01098901098901099,0.8999999999999999,0.4,0.9911594714322187,0.9546956828593313
F,hairdresser,15,49,26,1,90,0.01098901098901099,1.6333333333333333,0.5444444444444444,0.8996441706478425,0.8131198357220388
F,housekeeper,4,57,29,3,90,0.03225806451612903,1.9,0.6333333333333333,0.7214373207691148,0.6528623924614688
F,librarian,7,53,30,3,90,0.03225806451612903,1.7666666666666666,0.5888888888888889,0.7979774649654023,0.7254531456459081
F,nurse,7,54,26,5,89,0.05319148936170213,1.8202247191011236,0.6067415730337079,0.78520247271849,0.7070765398108693
F,paralegal,14,49,26,3,89,0.03260869565217391,1.651685393258427,0.550561797752809,0.8911357567240755,0.8043443753827598
F,pathologist,29,32,29,2,90,0.021739130434782608,1.0666666666666667,0.35555555555555557,0.998999316579922,0.9860662566146198
F,preschool teacher,5,67,16,3,88,0.03296703296703297,2.284090909090909,0.7613636363636364,0.619403571819997,0.5148239612738164
F,receptionist,7,65,18,5,90,0.05263157894736842,2.1666666666666665,0.7222222222222222,0.6877326140581292,0.5793062351015442
F,secretary,6,58,26,1,90,0.01098901098901099,1.9333333333333336,0.6444444444444445,0.7485818415100266,0.6624824382393493
F,tailor,55,16,19,0,90,0,0.5333333333333333,0.6111111111111112,0.8523256096319624,0.7447286991125106
F,teacher,44,100,35,5,179,0.02717391304347826,1.6759776536312847,0.5586592178770949,0.9004936389934415,0.8051006526698079
F,therapist,22,47,19,10,90,0.1,1.5666666666666669,0.5222222222222223,0.9211523793354887,0.8393580942679598
