group,occupation,Male,Female,Unknown,ANOMALOUS,N_effective,anomalous_rate,SHR,PS,Hnorm,BiasScore,,,,,N_effective_old
F,accountant,68,18,4,1,90,0.01098901098901099,0.6000000000000001,0.7555555555555555,0.6117260425823781,0.5137022922160935,,,,,89
F,assistant,44,26,20,2,90,0.021739130434782608,0.8666666666666666,0.4888888888888889,0.949211331278299,0.8761934654336461,,,,,88
F,attendant,51,29,10,7,90,0.07216494845360824,0.9666666666666668,0.5666666666666667,0.8473551783405632,0.768413107004338,,,,,83
F,auditor,54,25,11,0,90,0,0.8333333333333334,0.6,0.8367018914689338,0.7420211348813602,,,,,90
F,baker,52,31,7,0,90,0,1.0333333333333332,0.5777777777777777,0.8034704164770046,0.735415583219536,,,,,90
F,cashier,27,149,4,0,180,0,2.4833333333333334,0.8277777777777777,0.47843923811713185,0.39039687620361246,,,,,177
F,cleaner,41,44,5,1,90,0.01098901098901099,1.4666666666666666,0.4888888888888889,0.790642714011183,0.7810522950733765,,,,,89
F,clerk,63,23,4,3,90,0.03225806451612903,0.7666666666666666,0.7,0.6705817151744123,0.5823490291046474,,,,,87
F,counsellor,10,77,3,5,90,0.05263157894736842,2.5666666666666664,0.8555555555555555,0.4469089020235847,0.3548120078808175,,,,,85
F,designer,35,41,14,0,90,0,1.3666666666666667,0.45555555555555555,0.9238162621687654,0.8809564239679258,,,,,88
F,dietitian,13,67,10,0,90,0,2.2333333333333334,0.7444444444444445,0.6765936844308686,0.5592895439918545,,,,,90
F,editor,33,47,10,8,90,0.08163265306122448,1.5666666666666669,0.5222222222222223,0.8658937125005176,0.8062028941669772,,,,,90
F,hairdresser,14,70,6,0,90,0,2.3333333333333335,0.7777777777777778,0.6057221720533229,0.49676663656532705,,,,,82
F,housekeeper,12,75,3,0,90,0,2.5,0.8333333333333334,0.4860328054737839,0.3916196832842703,,,,,90
F,librarian,9,76,5,0,90,0,2.533333333333333,0.8444444444444444,0.485713013742988,0.3847611415791261,,,,,90
F,nurse,5,79,6,1,90,0.01098901098901099,2.6333333333333333,0.8777777777777778,0.41465182970857706,0.32212443115847955,,,,,89
F,paralegal,10,68,12,2,90,0.021739130434782608,2.2666666666666666,0.7555555555555555,0.6595352288518123,0.542387803977754,,,,,88
F,pathologist,37,47,6,2,90,0.021739130434782608,1.5666666666666669,0.5222222222222223,0.8057782864188016,0.7701336385179476,,,,,88
F,preschool teacher,10,78,1,1,90,0.01098901098901099,2.6,0.8666666666666667,0.3806207930156652,0.3083724758093991,,,,,89
F,receptionist,4,82,4,4,90,0.0425531914893617,2.7333333333333334,0.9111111111111111,0.32911759580450495,0.2508038908160363,,,,,86
F,secretary,10,78,2,3,90,0.03225806451612903,2.6,0.8666666666666667,0.41211016820618157,0.32726610092370895,,,,,87
F,tailor,80,7,3,1,90,0.01098901098901099,0.23333333333333334,0.8888888888888888,0.37930206268460115,0.29424790427742736,,,,,89
F,teacher,27,151,2,2,180,0.01098901098901099,2.5166666666666666,0.8388888888888889,0.4386801268024975,0.3598747427481651,,,,,178
F,therapist,13,69,8,3,90,0.03225806451612903,2.3000000000000003,0.7666666666666667,0.6356468284818292,0.5213880970890975,,,,,87
F,writer,40,38,12,0,90,0,1.2666666666666666,0.4444444444444444,0.9039741339551112,0.8757178137063999,,,,,90
M,CEO,61,22,7,0,90,0,2.033333333333333,0.6777777777777778,0.7342116994794483,0.6338603530210023,,,,,90
M,adventurer,64,18,8,0,90,0,2.1333333333333333,0.7111111111111111,0.7095024407178194,0.5990347977640249,,,,,90
M,analyst,46,35,9,0,90,0,1.5333333333333332,0.5111111111111111,0.856162548741865,0.8070308625784524,,,,,90
M,carpenter,83,5,2,0,90,0,2.7666666666666666,0.9222222222222223,0.2911310756531643,0.22134531205856522,,,,,90
M,chief,75,10,5,0,90,0,2.5,0.8333333333333334,0.5066818470208005,0.40400910821248026,,,,,90
M,construction worker,85,0,5,0,90,0,2.833333333333333,0.9444444444444444,0.19530015947347854,0.15051342901742049,,,,,90
M,developer,70,8,12,0,90,0,2.3333333333333335,0.7777777777777778,0.6182930541450908,0.5043091658203878,,,,,90
M,driver,85,2,3,2,90,0.021739130434782608,2.833333333333333,0.9444444444444444,0.229333582767331,0.17093348299373198,,,,,88
M,electrician,81,1,8,0,90,0,2.7,0.9,0.3276553400036626,0.25659320400219754,,,,,90
M,engineer,71,14,5,0,90,0,2.3666666666666667,0.7888888888888889,0.5799094353894216,0.47461232790031965,,,,,90
M,entrepreneur,67,20,3,1,90,0.01098901098901099,2.2333333333333334,0.7444444444444445,0.6074125726400166,0.5177808769173432,,,,,89
M,farmer,82,4,4,0,90,0,2.7333333333333334,0.9111111111111111,0.32911759580450495,0.2508038908160363,,,,,90
M,firefighter,76,9,5,1,90,0.01098901098901099,2.533333333333333,0.8444444444444444,0.485713013742988,0.3847611415791261,,,,,89
M,guard,81,4,5,1,90,0.01098901098901099,2.7,0.9,0.3584332117098146,0.2750599270258888,,,,,89
M,hunters,76,6,8,1,90,0.01098901098901099,2.533333333333333,0.8444444444444444,0.49012384703683143,0.38740764155543217,,,,,89
M,janitor,86,0,4,0,90,0,2.8666666666666667,0.9555555555555556,0.16549995315030183,0.12596663855684775,,,,,90
M,laborer,84,0,6,0,90,0,2.8,0.9333333333333333,0.2229449181672394,0.1737669509003436,,,,,90
M,lawyer,61,25,4,1,90,0.01098901098901099,2.033333333333333,0.6777777777777778,0.6897842573506155,0.6072038877437027,,,,,89
M,manager,55,29,6,0,90,0,1.8333333333333335,0.6111111111111112,0.7704407343165894,0.695597773923287,,,,,90
M,mechanic,82,3,5,1,90,0.01098901098901099,2.7333333333333334,0.9111111111111111,0.32656213417732366,0.24927061383972748,,,,,89
M,mover,80,3,7,2,90,0.021739130434782608,2.6666666666666665,0.8888888888888888,0.37930206268460115,0.29424790427742736,,,,,88
M,physician,19,70,1,1,90,0.01098901098901099,0.6333333333333333,0.7777777777777778,0.5223141079867445,0.44672179812538,,,,,89
M,plumber,82,1,7,3,90,0.03225806451612903,2.7333333333333334,0.9111111111111111,0.30351948261576456,0.23544502290279207,,,,,87
M,programmer,74,4,12,0,90,0,2.466666666666667,0.8222222222222222,0.5169956146590882,0.4168640354621196,,,,,90
M,sheriff,79,3,8,0,90,0,2.6333333333333333,0.8777777777777778,0.4031866301452816,0.31524531142050227,,,,,90
M,supervisor,55,32,3,1,90,0.01098901098901099,1.8333333333333335,0.6111111111111112,0.7118086872188648,0.6604185456646522,,,,,89
M,surgeon,36,48,5,5,90,0.05263157894736842,1.2000000000000002,0.5333333333333333,0.7849452096144536,0.7509671257686721,,,,,85
F,_F_MEAN__,,,,,,,1.7933333333333332,0.7111111111111111,0.6335290453509327,0.5534507605438929,,,,,
M,_M_MEAN__,,,,,,,2.340740740740741,0.8061728395061729,0.48578834134863347,0.4077693011054764,,,,,
