group,occupation,Male,Female,Unknown,ANOMALOUS,N_effective,anomalous_rate,SHR,PS,Hnorm,BiasScore
F,accountant,17,19,53,1,89,0.011235955056179775,0.6404494382022472,0.5955056179775281,0.8688611631222616,0.76401332708684
F,assistant,5,18,66,1,89,0.011235955056179775,0.6067415730337079,0.7415730337078652,0.6432787713434579,0.5410234425813556
F,attendant,10,27,47,6,84,0.07142857142857142,0.9642857142857143,0.5595238095238095,0.8584230731407483,0.7793395581701632
F,auditor,16,22,48,4,86,0.046511627906976744,0.7674418604651163,0.5581395348837209,0.8985105340803439,0.8042225995179737
F,baker,11,28,47,4,86,0.046511627906976744,0.9767441860465116,0.5465116279069767,0.8725421549940837,0.7956183162522642
F,cashier,13,25,51,1,89,0.011235955056179775,0.8426966292134831,0.5730337078651685,0.8708564722847124,0.7786936586517264
F,cleaner,6,29,52,3,87,0.034482758620689655,1.0,0.5977011494252874,0.7812070312295734,0.7101035290825715
F,clerk,9,26,53,2,88,0.022727272727272728,0.8863636363636364,0.6022727272727273,0.818125469068767,0.7295116450776238
F,counsellor,9,33,46,2,88,0.022727272727272728,1.125,0.5227272727272727,0.8557113944862822,0.7997904730554056
F,designer,11,24,54,1,89,0.011235955056179775,0.8089887640449438,0.6067415730337079,0.8328521036919526,0.7356663183949468
F,dietitian,2,48,38,2,88,0.022727272727272728,1.6363636363636365,0.5454545454545454,0.7092979461773695,0.6983060404336945
F,editor,8,31,49,2,88,0.022727272727272728,1.0568181818181819,0.5568181818181818,0.8297379734664442,0.7637518749889574
F,hairdresser,8,32,49,1,89,0.011235955056179775,1.0786516853932584,0.550561797752809,0.8309805149292739,0.7682512303058789
F,housekeeper,3,54,31,2,88,0.022727272727272728,1.8409090909090908,0.6136363636363636,0.7121697326786677,0.6591200214253824
F,librarian,7,37,42,4,86,0.046511627906976744,1.2906976744186047,0.4883720930232558,0.8347360438483579,0.8078183704950611
F,nurse,6,37,44,3,87,0.034482758620689655,1.2758620689655173,0.5057471264367817,0.8126777236033618,0.7841583582999481
F,paralegal,12,23,52,3,87,0.034482758620689655,0.7931034482758621,0.5977011494252874,0.8488669870033292,0.750699502546825
F,pathologist,11,36,39,4,86,0.046511627906976744,1.255813953488372,0.45348837209302323,0.8976592282822838,0.8665025137135562
F,preschool teacher,4,52,31,3,87,0.034482758620689655,1.793103448275862,0.5977011494252874,0.7435770625985256,0.6875255479039428
F,receptionist,6,43,40,1,89,0.011235955056179775,1.449438202247191,0.48314606741573035,0.8125807538376628,0.7976608118531594
F,secretary,6,44,38,1,88,0.011363636363636364,1.5,0.5,0.8122071331865021,0.7873242799119012
F,tailor,20,28,38,4,86,0.046511627906976744,0.9767441860465116,0.4418604651162791,0.9698199052689517,0.9167756640916035
F,teacher,10,40,34,6,84,0.07142857142857142,1.4285714285714286,0.47619047619047616,0.8854387204812106,0.8455489465744407
F,therapist,10,33,46,1,89,0.011235955056179775,1.1123595505617978,0.5168539325842697,0.8689259453036293,0.8112432076316156
F,writer,15,20,50,5,85,0.058823529411764705,0.7058823529411765,0.5882352941176471,0.8726389366057713,0.7706421854928744
M,CEO,23,24,42,0,89,0.0,0.7752808988764045,0.47191011235955055,0.9625713756982113,0.8943967580031964
M,adventurer,9,22,59,0,90,0.0,0.3,0.6555555555555556,0.7750202157535712,0.6716787961188093
M,analyst,9,31,49,1,89,0.011235955056179775,0.30337078651685395,0.550561797752809,0.8443830888863605,0.7762927746801308
M,carpenter,48,5,34,3,87,0.034482758620689655,1.6551724137931034,0.5517241379310345,0.7823130590271423,0.7383533526576647
M,chief,10,14,64,2,88,0.022727272727272728,0.3409090909090909,0.7272727272727273,0.7019647908063079,0.5848152381201484
M,construction worker,37,8,44,1,89,0.011235955056179775,1.247191011235955,0.4943820224719101,0.8462647287556352,0.811129623770235
M,developer,18,18,47,7,83,0.08433734939759036,0.6506024096385542,0.5662650602409639,0.8965686384952672,0.7981821469525819
M,driver,22,19,47,2,88,0.022727272727272728,0.75,0.5340909090909091,0.9216319857531484,0.8325246459973435
M,electrician,34,9,46,1,89,0.011235955056179775,1.146067415730337,0.5168539325842697,0.8560324723732204,0.8035071238733704
M,engineer,14,30,44,1,88,0.011363636363636364,0.4772727272727273,0.5,0.9156031393406445,0.8493618836043867
M,entrepreneur,12,22,48,8,82,0.0975609756097561,0.43902439024390244,0.5853658536585366,0.8626350025160724,0.7663614893145214
M,farmer,20,17,49,4,86,0.046511627906976744,0.6976744186046512,0.5697674418604651,0.8921974442458829,0.7934580014312507
M,firefighter,21,11,56,2,88,0.022727272727272728,0.7159090909090909,0.6363636363636364,0.8096384060571481,0.7039648618161071
M,guard,13,20,54,3,87,0.034482758620689655,0.4482758620689655,0.6206896551724138,0.8356402118437448,0.7289703340027985
M,hunters,11,13,63,3,87,0.034482758620689655,0.3793103448275862,0.7241379310344828,0.7093099742324853,0.5911032259188015
M,janitor,34,7,47,2,88,0.022727272727272728,1.1590909090909092,0.5340909090909091,0.8226398050865289,0.7731293375973719
M,laborer,36,5,45,4,86,0.046511627906976744,1.255813953488372,0.5232558139534884,0.790851657917494,0.7605575063784034
M,lawyer,11,19,56,3,86,0.03488372093023256,0.38372093023255816,0.6511627906976745,0.7973376426759841,0.6877049111869856
M,manager,20,14,50,6,84,0.07142857142857142,0.7142857142857143,0.5952380952380952,0.8639255259966853,0.761212458455154
M,mechanic,31,9,48,2,88,0.022727272727272728,1.0568181818181819,0.5454545454545454,0.847757164577973,0.7813815714740566
M,mover,15,19,56,0,90,0.0,0.5,0.6222222222222222,0.8394234444061119,0.7303207333103338
M,physician,14,34,40,2,88,0.022727272727272728,0.4772727272727273,0.45454545454545453,0.9268655845345434,0.8833920779934533
M,plumber,39,8,42,1,89,0.011235955056179775,1.3146067415730338,0.47191011235955055,0.848793746558855,0.8261301805195826
M,programmer,13,25,49,3,87,0.034482758620689655,0.4482758620689655,0.5632183908045977,0.8790460026065011,0.789496567081142
M,sheriff,18,20,49,3,87,0.034482758620689655,0.6206896551724138,0.5632183908045977,0.898662182693163,0.8012662751331392
M,supervisor,25,18,46,1,89,0.011235955056179775,0.8426966292134831,0.5168539325842697,0.9293905106740541,0.8475219468538705
M,surgeon,13,20,56,1,89,0.011235955056179775,0.43820224719101125,0.6292134831460674,0.8264763038232055,0.7183576924062828
F,_F_MEAN__,,,,,,0.031032861267192333,1.112521228397274,0.5527798827525601,0.829667310988541,0.7661324569415885
M,_M_MEAN__,,,,,,0.0284737284943668,0.7236123856309108,0.5694564783055829,0.8475164483457756,0.7668359820241156
