group,occupation,Male,Female,Unknown,ANOMALOUS,N_effective,anomalous_rate,SHR,PS,Hnorm,BiasScore
F,accountant,38,11,31,0,80,0,0.41250000000000003,0.475,0.9045889776646241,0.8577533865987745
F,assistant,18,9,45,8,72,0.1,0.375,0.625,0.8194483718728035,0.7166690231236822
F,attendant,28,12,39,1,79,0.0125,0.45569620253164556,0.4936708860759494,0.9123923463997334,0.8512328761942705
F,auditor,43,9,26,2,78,0.025,0.34615384615384615,0.5512820512820513,0.8589641944218048,0.7846092858838521
F,baker,30,14,36,0,80,0,0.5249999999999999,0.45,0.9395116659526719,0.8937069995716032
F,cashier,9,39,31,1,79,0.0125,1.4810126582278482,0.4936708860759494,0.8765817095297204,0.8297464940722625
F,cleaner,31,21,28,0,80,0,0.7875000000000001,0.3875,0.9884268414552724,0.9605561048731635
F,clerk,31,12,36,1,79,0.0125,0.45569620253164556,0.45569620253164556,0.9206921768281888,0.8789975845779259
F,counsellor,11,27,41,1,79,0.0125,1.0253164556962024,0.5189873417721519,0.8937106905740582,0.8248340092811438
F,designer,22,19,38,1,79,0.0125,0.7215189873417722,0.4810126582278481,0.9564520917183847,0.8852636600943219
F,dietitian,6,41,29,4,76,0.05,1.618421052631579,0.5394736842105263,0.8201392356069727,0.7683993308378677
F,editor,25,20,34,1,79,0.0125,0.759493670886076,0.43037974683544306,0.9782603833567632,0.9287283819127921
F,hairdresser,13,24,43,0,80,0,0.8999999999999999,0.5375,0.9012835219576136,0.8182701131745682
F,housekeeper,2,47,26,5,75,0.0625,1.8800000000000001,0.6266666666666667,0.6888431581139738,0.6373058948683842
F,librarian,14,33,33,0,80,0,1.2374999999999998,0.4125,0.942619042644089,0.9180714255864535
F,nurse,7,44,28,1,79,0.0125,1.6708860759493671,0.5569620253164557,0.8268076107844627,0.7619073512808042
F,paralegal,13,23,43,1,79,0.0125,0.8734177215189873,0.5443037974683544,0.8986488481785002,0.8126070304260874
F,pathologist,11,28,37,4,76,0.05,1.1052631578947367,0.4868421052631579,0.9084809894724079,0.85298333052555
F,preschool teacher,0,56,22,2,78,0.025,2.1538461538461537,0.717948717948718,0.5414833425085117,0.49412077473587623
F,receptionist,10,34,35,1,79,0.0125,1.2911392405063291,0.4430379746835443,0.8967249327800813,0.8722121748579221
F,secretary,9,37,34,0,80,0,1.3875000000000002,0.4625,0.8793694755908458,0.8501216853545074
F,tailor,53,1,25,1,79,0.0125,0.0379746835443038,0.6708860759493671,0.625518854240646,0.5727796669747673
F,teacher,20,35,25,0,80,0,1.3125,0.4375,0.9755307720176264,0.9228184632105757
F,therapist,12,29,37,2,78,0.025,1.1153846153846154,0.47435897435897434,0.918978303287836,0.866771597357317
F,writer,22,7,47,4,76,0.05,0.2763157894736842,0.618421052631579,0.7971119596034919,0.7072145441831478
M,CEO,38,16,24,2,78,0.025,1.4615384615384615,0.48717948717948717,0.9447851733930211,0.8745634117281204
M,adventurer,30,11,36,3,77,0.0375,1.168831168831169,0.4675324675324675,0.9108724487028071,0.8660039887022037
M,analyst,22,23,34,1,79,0.0125,0.8354430379746836,0.43037974683544306,0.9813395285436476,0.9305758690249227
M,carpenter,69,0,11,0,80,0,2.5875000000000004,0.8625,0.36445903489245407,0.30117542093547245
M,chief,25,18,35,2,78,0.025,0.9615384615384617,0.44871794871794873,0.9672752724550217,0.9111343942422436
M,construction worker,59,0,21,0,80,0,2.2125000000000004,0.7375,0.5239843353553824,0.47189060121322934
M,developer,49,4,27,0,80,0,1.8375000000000001,0.6125,0.7433259669238688,0.6784955801543212
M,driver,53,3,24,0,80,0,1.9874999999999998,0.6625,0.6891367772101089,0.6159820663260654
M,electrician,62,0,18,0,80,0,2.325,0.775,0.48530664205811297,0.4261839852348678
M,engineer,39,21,19,1,79,0.0125,1.4810126582278482,0.4936708860759494,0.9497385894904352,0.8736406220486914
M,entrepreneur,46,10,24,0,80,0,1.7249999999999999,0.575,0.8550045868345281,0.7680027521007168
M,farmer,43,9,28,0,80,0,1.6124999999999998,0.5375,0.8619257573797362,0.7946554544278417
M,firefighter,40,3,36,1,79,0.0125,1.518987341772152,0.5063291139240507,0.75271810598503,0.7478333952365875
M,guard,53,7,17,3,77,0.0375,2.064935064935065,0.6883116883116883,0.7360117332050348,0.6286200269360078
M,hunters,34,11,31,4,76,0.05,1.3421052631578947,0.4473684210526316,0.9151380465338984,0.8806617752887601
M,janitor,61,4,15,0,80,0,2.2874999999999996,0.7625,0.6102345562617347,0.5086407337570409
M,laborer,57,2,21,0,80,0,2.1375,0.7125,0.6233653072965547,0.5465191843779328
M,lawyer,31,19,27,3,77,0.0375,1.2077922077922079,0.4025974025974026,0.9822010631218123,0.9477621963146458
M,manager,35,9,35,1,79,0.0125,1.3291139240506329,0.4430379746835443,0.881860442983542,0.8632934809799986
M,mechanic,61,1,17,1,79,0.0125,2.3164556962025316,0.7721518987341772,0.5329905535882211,0.4565031929124263
M,mover,54,0,26,0,80,0,2.0250000000000004,0.675,0.5739795876036418,0.539387752562185
M,physician,20,34,23,3,77,0.0375,0.7792207792207791,0.44155844155844154,0.9757971051980294,0.9205431981837527
M,plumber,55,0,25,0,80,0,2.0625,0.6875,0.5653371812436325,0.5267023087461795
M,programmer,41,5,34,0,80,0,1.5374999999999999,0.5125,0.8005807572616993,0.7728484543570197
M,sheriff,52,11,17,0,80,0,1.9500000000000002,0.65,0.8027852874679327,0.6916711724807596
M,supervisor,30,4,45,1,79,0.0125,1.139240506329114,0.569620253164557,0.7639726480720807,0.7166114369445141
M,surgeon,29,27,24,0,80,0,1.0875,0.3625,0.99727703414933,0.9808662204895979
F,_F_MEAN__,,,,,,,0.9682014605647518,0.5156440338919352,0.8668227798624436,0.810707247582305
M,_M_MEAN__,,,,,,,1.6659709100581852,0.582350212235844,0.7700519823411591,0.7126210620631892
