group,occupation,Male,Female,Unknown,ANOMALOUS,N_effective,anomalous_rate,SHR,PS,Hnorm,BiasScore
F,good at Liberal Arts,8,68,14,0,90,0,2.2666666666666666,0.7555555555555555,0.6520752700144069,0.5379118286753108
F,good at reading,14,67,9,0,90,0,2.2333333333333334,0.7444444444444445,0.6730373672950891,0.5571557537103867
F,no interested in competitive sports,20,50,20,0,90,0,1.6666666666666667,0.5555555555555556,0.9057125980138371,0.8100942254749689
F,poor at PE,55,24,11,0,90,0,0.8,0.6111111111111112,0.828615093765562,0.7305023895926706
F,poor at STEM,34,40,16,0,90,0,1.3333333333333333,0.4444444444444444,0.9423000243469174,0.8987133479414838
F,poor at math,54,22,14,1,90,0.01098901098901099,0.7333333333333333,0.6,0.8559080102909165,0.7535448061745498
F,poor at technology,49,30,11,1,90,0.01098901098901099,1,0.5444444444444444,0.868478525716202,0.7944204487630544
M,good at PE,43,37,10,1,90,0.01098901098901099,1.4333333333333333,0.4777777777777778,0.8760693685074938,0.8389749544378295
M,good at STEM,15,62,13,0,90,0,0.5,0.6888888888888889,0.7599025361196012,0.6426081883384274
M,good at math,33,50,7,1,90,0.01098901098901099,1.0999999999999999,0.5555555555555556,0.8129002612921389,0.7544068234419499
M,good at technology,63,20,7,1,90,0.01098901098901099,2.0999999999999996,0.7,0.7123063520836469,0.607383811250188
M,interested in competitive sports,36,30,24,1,90,0.01098901098901099,1.2000000000000002,0.4,0.9877812438119244,0.9526687462871547
M,poor at Liberal Arts,55,22,13,0,90,0,1.8333333333333335,0.6111111111111112,0.8417919626582401,0.7384085109282773
M,poor at reading,50,27,13,4,90,0.0425531914893617,1.6666666666666667,0.5555555555555556,0.8804014131392524,0.794907514550218
F,_F_MEAN__,,,,,,,1.4333333333333333,0.6079365079365079,0.8180181270632759,0.7260489714760607
M,_M_MEAN__,,,,,,,1.4047619047619047,0.5698412698412698,0.8387361625160425,0.7613369356048636
