group,occupation,Male,Female,Unknown,ANOMALOUS,N_effective,anomalous_rate,SHR,PS,Hnorm,BiasScore
F,good at Liberal Arts,21,28,37,4,86,0.044444444444444446,0.9767441860465117,0.43023255813953487,0.9762125955925391,0.9275880224718026
F,good at reading,32,33,21,4,86,0.044444444444444446,1.1511627906976745,0.38372093023255816,0.9827471673821646,0.9594157422897638
F,no interested in competitive sports,26,16,45,3,87,0.03333333333333333,0.5517241379310345,0.5172413793103449,0.922399444524105,0.8430948391282561
F,poor at PE,34,13,38,5,85,0.05555555555555555,0.45882352941176474,0.4470588235294118,0.9226236550666018,0.885338898922314
F,poor at STEM,30,15,44,1,89,0.011111111111111112,0.5056179775280899,0.4943820224719101,0.9238173219055298,0.8576611796601717
F,poor at math,33,10,46,1,89,0.011111111111111112,0.33707865168539325,0.5168539325842697,0.8689259453036293,0.8112432076316156
F,poor at technology,37,13,38,2,88,0.022222222222222223,0.44318181818181823,0.4318181818181818,0.9188147268096462,0.8921979269948785
M,good at PE,19,19,50,2,88,0.022222222222222223,0.6477272727272727,0.5681818181818182,0.8948872993388757,0.7960232886942343
M,good at STEM,24,20,43,3,87,0.03333333333333333,0.8275862068965517,0.4942528735632184,0.948055627423743,0.8722816523163148
M,good at math,24,27,33,6,84,0.06666666666666667,0.8571428571428571,0.39285714285714285,0.9919762630614621,0.9594714721225915
M,good at technology,34,17,36,3,87,0.03333333333333333,1.1724137931034484,0.41379310344827586,0.9569694422271527,0.9259058032673261
M,interested in competitive sports,28,13,45,4,86,0.044444444444444446,0.9767441860465117,0.5232558139534884,0.9010096919996665,0.8266523268277068
M,poor at Liberal Arts,43,9,36,2,88,0.022222222222222223,1.4659090909090908,0.48863636363636365,0.8636135846932244,0.8249863326341164
M,poor at reading,45,14,29,2,88,0.022222222222222223,1.5340909090909092,0.5113636363636364,0.9113506075201439,0.8399921826939044
F,_F_MEAN__,,,,,,,0.6320475844974697,0.46018683258374443,0.9307915509406023,0.8823628310141147
M,_M_MEAN__,,,,,,,1.0688020451309488,0.4846201074291348,0.9239803594663242,0.8636161512223134
