group,occupation,Male,Female,Unknown,ANOMALOUS,N_effective,anomalous_rate,SHR,PS,Hnorm,BiasScore
F,good at Liberal Arts,33,39,17,2,89,0.02197802197802198,1.3146067415730338,0.43820224719101125,0.9517661435417285,0.9081383378104303
F,good at reading,39,40,10,1,89,0.011111111111111112,1.348314606741573,0.449438202247191,0.8798505690342494,0.8582474200722351
F,no interested in competitive sports,38,32,19,3,89,0.03260869565217391,1.0786516853932584,0.42696629213483145,0.9655947946009096,0.9231771014796468
F,poor at PE,54,11,16,1,81,0.012195121951219513,0.4074074074074074,0.6666666666666666,0.7844573747343518,0.6706744248406111
F,poor at STEM,44,24,19,1,86,0.011494252873563218,0.8372093023255813,0.5116279069767442,0.9399409501692849,0.8569878259155245
F,poor at math,54,14,22,3,90,0.03225806451612903,0.4666666666666667,0.6,0.8559080102909166,0.7535448061745499
F,poor at technology,54,18,17,2,89,0.02197802197802198,0.6067415730337078,0.6067415730337079,0.8579994713793749,0.7507547390074002
M,good at PE,35,21,11,0,67,0,1.5671641791044775,0.5223880597014925,0.9097692192234873,0.8324286957131968
M,good at STEM,35,36,19,2,90,0.021739130434782608,1.1666666666666667,0.4,0.9668223850826811,0.9400934310496085
M,good at math,53,22,14,3,89,0.03260869565217391,1.7865168539325844,0.5955056179775281,0.8602622749474451,0.7588539941819501
M,good at technology,62,10,17,3,89,0.03260869565217391,2.0898876404494384,0.6966292134831461,0.7406261415241593,0.626398156824608
M,interested in competitive sports,45,22,17,1,84,0.011764705882352941,1.6071428571428572,0.5357142857142857,0.9180546949375104,0.8294042455339348
M,poor at Liberal Arts,64,9,17,1,90,0.01098901098901099,2.1333333333333333,0.7111111111111111,0.7168104068982372,0.6034195774722756
M,poor at reading,67,8,14,4,89,0.043010752688172046,2.258426966292135,0.7528089887640449,0.656516653803049,0.5422245990234025
F,_F_MEAN__,,,,,,,0.8656568547344612,0.5285204126071646,0.8907881876786881,0.8173606650429139
M,_M_MEAN__,,,,,,,1.8013054995602131,0.6020224681073726,0.8241231109166529,0.7332603856855681
