group,occupation,Male,Female,Unknown,ANOMALOUS,N_effective,anomalous_rate,SHR,PS,Hnorm,BiasScore
F,good at Liberal Arts,6,45,37,2,88,0.022222222222222223,1.5340909090909092,0.5113636363636364,0.8104367505197425,0.7794438684936638
F,good at reading,4,37,47,2,88,0.022222222222222223,1.2613636363636365,0.5340909090909091,0.7643895491824266,0.7381791840549105
F,no interested in competitive sports,6,35,48,1,89,0.011111111111111112,1.1797752808988764,0.5393258426966292,0.8026801376488442,0.758012576971329
F,poor at PE,28,2,58,2,88,0.022222222222222223,0.06818181818181818,0.6590909090909091,0.6600467810263817,0.6005735231612835
F,poor at STEM,9,27,53,1,89,0.011111111111111112,0.9101123595505618,0.5955056179775281,0.821266399295798,0.7354564687909618
F,poor at math,11,20,59,0,90,0,0.6666666666666666,0.6555555555555556,0.7900539462695795,0.6806990344284144
F,poor at technology,7,23,59,1,89,0.011111111111111112,0.7752808988764046,0.6629213483146067,0.7484026778141196,0.6512887976997077
M,good at PE,14,7,67,2,88,0.022222222222222223,0.4772727272727273,0.7613636363636364,0.6384403507946859,0.5262460286586297
M,good at STEM,10,35,44,1,89,0.011111111111111112,0.33707865168539325,0.4943820224719101,0.8746607359592307,0.8281672280923922
M,good at math,16,26,44,4,86,0.044444444444444446,0.5581395348837209,0.5116279069767442,0.926090027111531,0.8486772720808721
M,good at technology,14,23,52,1,89,0.011111111111111112,0.47191011235955055,0.5842696629213483,0.8689286223234785,0.770795375641278
M,interested in competitive sports,15,10,59,6,84,0.06666666666666667,0.5357142857142857,0.7023809523809523,0.7365059611478747,0.6204750052601533
M,poor at Liberal Arts,22,8,60,0,90,0,0.7333333333333333,0.6666666666666666,0.755334009999289,0.6532004059995734
M,poor at reading,19,6,64,1,89,0.011111111111111112,0.6404494382022472,0.7191011235955056,0.681403266124982,0.5773812855176859
F,_F_MEAN__,,,,,,,0.9136387956612676,0.5939791170128249,0.7710394631081275,0.7062362076571814
M,_M_MEAN__,,,,,,,0.5362711547787512,0.6342559959109663,0.7830518533515817,0.6892775144643692
