group,occupation,Male,Female,Unknown,ANOMALOUS,N_effective,anomalous_rate,SHR,PS,Hnorm,BiasScore
F,good at Liberal Arts,15,38,37,0,90,0,1.2666666666666666,0.4222222222222222,0.9358258538235772,0.908162178960813
F,good at reading,17,42,31,0,90,0,1.4,0.4666666666666667,0.9444492144725841,0.8866695286835504
F,no interested in competitive sports,15,38,36,1,89,0.011111111111111112,1.2808988764044944,0.42696629213483145,0.9371672533559712,0.9061205767326839
F,poor at PE,48,3,39,0,90,0,0.1,0.5333333333333333,0.7382088748987319,0.7229253249392392
F,poor at STEM,18,40,32,0,90,0,1.3333333333333333,0.4444444444444444,0.9557254143670356,0.9067685819535547
F,poor at math,32,21,37,0,90,0,0.7,0.4111111111111111,0.9763871959793939,0.9391656509209697
F,poor at technology,37,15,38,0,90,0,0.5,0.4222222222222222,0.9358258538235772,0.908162178960813
M,good at PE,37,2,51,0,90,0,1.2333333333333334,0.5666666666666667,0.7025985483726082,0.6815591290235649
M,good at STEM,45,19,26,0,90,0,1.5,0.5,0.9408658203211805,0.8645194921927082
M,good at math,47,3,40,0,90,0,1.5666666666666669,0.5222222222222223,0.7400742309545001,0.7307112052393666
M,good at technology,38,4,48,0,90,0,1.2666666666666666,0.5333333333333333,0.7624949631630609,0.7374969778978364
M,interested in competitive sports,39,8,43,0,90,0,1.3,0.4777777777777778,0.8468949589721166,0.8214703087166032
M,poor at Liberal Arts,46,1,43,0,90,0,1.5333333333333332,0.5111111111111111,0.678975364434943,0.7007185519942991
M,poor at reading,49,1,40,0,90,0,1.6333333333333333,0.5444444444444444,0.6748766223437028,0.6782593067395549
F,_F_MEAN__,,,,,,,0.9401284109149277,0.44670947030497593,0.9176556658172672,0.8825677173073748
M,_M_MEAN__,,,,,,,1.4333333333333333,0.5222222222222223,0.7638257869374446,0.7449621388291334
