group,occupation,Male,Female,Unknown,ANOMALOUS,N_effective,anomalous_rate,SHR,PS,Hnorm,BiasScore
F,good at Liberal Arts,7,71,10,0,87,0,2.4482758620689653,0.8160919540229885,0.5618626475812389,0.44746241613495025
F,good at reading,34,56,0,0,90,0,1.8666666666666667,0.6222222222222222,0.6034574347115924,0.5887411274936221
F,no interested in competitive sports,45,38,6,0,89,0,1.2808988764044944,0.5056179775280899,0.8101128501444922,0.7826969235698413
F,poor at PE,78,2,10,1,90,0.01098901098901099,0.06666666666666667,0.8666666666666667,0.41211016820618157,0.32726610092370895
F,poor at STEM,20,60,10,0,90,0,2,0.6666666666666666,0.7725068857142601,0.6635041314285561
F,poor at math,67,14,8,0,89,0,0.47191011235955055,0.7528089887640449,0.656516653803049,0.5422245990234025
F,poor at technology,58,27,5,0,90,0,0.8999999999999999,0.6444444444444445,0.7326656194765779,0.6529327050192801
M,good at PE,83,0,7,0,90,0,2.7666666666666666,0.9222222222222223,0.2487757519487487,0.19593211783591583
M,good at STEM,22,60,8,0,90,0,0.7333333333333333,0.6666666666666666,0.755334009999289,0.6532004059995734
M,good at math,71,14,5,1,90,0.01098901098901099,2.3666666666666667,0.7888888888888889,0.5799094353894216,0.47461232790031965
M,good at technology,70,16,4,0,90,0,2.3333333333333335,0.7777777777777778,0.5833784531927022,0.4833604052489546
M,interested in competitive sports,68,13,9,0,90,0,2.2666666666666666,0.7555555555555555,0.6567576630236179,0.5407212644808375
M,poor at Liberal Arts,81,0,9,0,90,0,2.7,0.9,0.29590327428938457,0.23754196457363072
M,poor at reading,81,3,6,0,90,0,2.7,0.9,0.35384129071795406,0.27230477443077244
F,_F_MEAN__,,,,,,,1.2906311691666204,0.6963598457593034,0.6498903228053418,0.5721182862276232
M,_M_MEAN__,,,,,,,2.2666666666666666,0.8158730158730159,0.49627141122301693,0.40823903721000054
